Josh Okogie,SG,MIN,2160720,4691400,0,0,0,0,0,2,2022,71,19
Karl-Anthony Towns,C,MIN,5703600,11663760,17880600,25720035,0,0,0,4,2019,87,22
Nemanja Bjelica,PF,MIN,3950001,7750001,11700000,0,0,0,0,3,2018,72,30
Taj Gibson,PF,MIN,14000000,28000000,0,0,0,0,0,2,2019,76,33
Tyus Jones,PG,MIN,1282080,2621760,4093142,6537195,0,0,0,4,2019,74,22
Alexis Ajinca,C,NOP,4389607,9102810,14064608,19350002,0,0,0,4,2019,73,30
Anthony Davis,PF,NOP,22116750,45892256,71326519,98419538,127171313,0,0,5,2021,95,25
Cheick Diallo,C,NOP,543471,1856082,3401033,0,0,0,0,3,2019,67,21
Darius Miller,SF,NOP,2100000,4305000,0,0,0,0,0,2,2019,73,28
DeAndre Liggins,SG,NOP,588120,2383135,0,0,0,0,0,2,2019,72,30
E'Twaun Moore,SG,NOP,8081363,16526387,25335072,34000000,0,0,0,4,2020,73,29
Elfrid Payton,PG,NOP,2700000,0,0,0,0,0,0,1,2019,73,24
Emeka Okafor,C,NOP,592030,3037115,0,0,0,0,0,2,2019,70,35
Frank Jackson,PG,NOP,815615,2193857,3812377,0,0,0,0,3,2020,68,20
Jrue Holiday,PG,NOP,25686667,51847778,78743889,104905000,131955000,0,0,5,2022,84,28
Julius Randle,PF,NOP,8641000,17714050,0,0,0,0,0,2,2020,83,23
Nikola Mirotic,PF,NOP,4872881,17372881,0,0,0,0,0,2,2019,76,27
Solomon Hill,SF,NOP,11241218,23477753,36230681,49489462,0,0,0,4,2020,71,27
Courtney Lee,SG,NYK,11242000,22989890,35243670,48003340,0,0,0,4,2020,72,32
Damyean Dotson,SG,NYK,1100000,2478242,4096762,0,0,0,0,3,2020,69,24
Emmanuel Mudiay,PG,NYK,3102240,6344040,7547618,11842098,0,0,0,4,2019,72,22
Enes Kanter,C,NYK,16407500,33553338,54120139,72742652,0,0,0,4,2019,79,26
Frank Ntilikina,PG,NYK,3501120,7656840,0,0,0,0,0,2,2021,72,19
Joakim Noah,C,NYK,17000000,34765000,53295000,72590000,0,0,0,4,2020,67,33
Kristaps Porzingis,PF,NYK,4131720,8449440,12953040,18650094,0,0,0,4,2019,88,22
Kyle O'Quinn,C,NYK,3750000,7668750,11756250,16012500,0,0,0,4,2019,71,28
Lance Thomas,SF,NYK,6191000,12846325,19965975,27549950,0,0,0,4,2020,75,30
Luke Kornet,C,NYK,1619260,0,0,0,0,0,0,1,2019,73,22
Mario Hezonja,SG,NYK,6500000,0,0,0,0,0,0,1,2019,73,23
Ron Baker,SG,NYK,4328000,8872400,0,0,0,0,0,2,2019,76,25
Tim Hardaway Jr.,SG,NYK,16500000,33825000,51975000,70950000,0,0,0,4,2021,74,26
Trey Burke,PG,NYK,784160,2579175,0,0,0,0,0,2,2019,74,25
Troy Williams,SF,NYK,222476,1767427,0,0,0,0,0,2,2019,73,23
Alex Abrines,SG,OKC,5994764,11719764,17175000,0,0,0,0,3,2019,72,25
Andre Roberson,SG,OKC,9259260,19259260,30000000,0,0,0,0,3,2020,80,26
Carmelo Anthony,SF,OKC,22458401,45333401,69892781,96136541,124064681,0,0,5,2019,76,34
Dakari Johnson,C,OKC,815615,2193857,0,0,0,0,0,2,2019,63,22
Jerami Grant,SF,OKC,8333333,17333333,27000000,0,0,0,0,3,2021,72,24
Kyle Singler,SF,OKC,4500000,9337500,14004000,19000000,0,0,0,4,2020,65,30
Nerlens Noel,C,OKC,1621415,3466716,0,0,0,0,0,2,2020,75,24
Patrick Patterson,PF,OKC,5192000,10643600,16354800,0,0,0,0,3,2020,75,29
Paul George,SF,OKC,30560700,63566256,99016668,136911936,0,0,0,4,2022,90,28
Raymond Felton,PG,OKC,2328652,0,0,0,0,0,0,1,2018,74,34
Russell Westbrook,PG,OKC,35350000,73528000,114534000,158368000,205030000,0,0,5,2023,90,29
Steven Adams,C,OKC,22471910,46629213,72471910,100000000,0,0,0,4,2021,83,24
Terrance Ferguson,SG,OKC,1785000,3903840,0,0,0,0,0,2,2021,68,20
Aaron Gordon,PF,ORL,18750000,39000000,60750000,84000000,0,0,0,4,2022,83,22
Bismack Biyombo,C,ORL,17000000,34000000,51000000,68000000,0,0,0,4,2020,74,25
D.J. Augustin,PG,ORL,7250000,14500000,21750000,29000000,0,0,0,4,2020,72,30
Evan Fournier,SG,ORL,17000000,34000000,51000000,68000000,85000000,0,0,5,2021,82,25
Jonathan Isaac,SF,ORL,4186320,9155400,0,0,0,0,0,2,2020,74,20
Jonathon Simmons,SF,ORL,6300000,12300000,18000000,0,0,0,0,3,2020,79,28
Khem Birch,C,ORL,815615,2193857,0,0,0,0,0,2,2019,64,25
Mohamed Bamba,C,ORL,4865040,10562640,0,0,0,0,0,2,2022,78,20
Nikola Vucevic,C,ORL,11250000,23000000,35250000,48000000,0,0,0,4,2019,80,27
Rodney Purvis,G,ORL,69120,1447362,0,0,0,0,0,2,2019,67,24
Terrence Ross,SG,ORL,3411765,13911765,24411765,0,0,0,0,3,2019,76,27
Wesley Iwundu,SG,ORL,1050000,2428242,4046762,0,0,0,0,3,2020,70,23
Amir Johnson,PF,PHI,11000000,0,0,0,0,0,0,1,2018,78,31
Ben Simmons,PG,PHI,5903160,12072000,18506520,0,0,0,0,3,2020,85,21
Dario Saric,SF,PHI,2318280,4740840,7267680,0,0,0,0,3,2020,80,24
Furkan Korkmaz,SG,PHI,1225520,2691440,4431440,0,0,0,0,2,2021,69,20
J.J. Redick,SG,PHI,13000000,0,0,0,0,0,0,1,2019,79,34
Jerryd Bayless,PG,PHI,9424084,18424084,27000000,0,0,0,0,3,2019,71,29
Joel Embiid,C,PHI,25250000,52520000,81810000,113120000,146450000,0,0,5,2023,89,24
Justin Anderson,SG,PHI,1449000,1885434,3464874,5980922,0,0,0,4,2019,71,24
Markelle Fultz,PG,PHI,7026240,15366120,0,0,0,0,0,2,2021,74,20
Richaun Holmes,PF,PHI,1074169,2100000,3571382,5171902,0,0,0,4,2019,73,24
Robert Covington,SF,PHI,10464092,21765311,33903656,46879127,0,0,0,4,2022,81,27
T.J. McConnell,PG,PHI,525093,1399729,2871111,4471631,0,0,0,4,2019,76,26
Timothe Luwawu-Cabarrot,SG,PHI,1326960,2713560,4159920,0,0,0,0,3,2020,72,23
Wilson Chandler,SF,PHI,10449438,21682584,33699438,46500000,0,0,0,4,2019,74,31
Zhaire Smith,SF,PHI,2611800,5670600,0,0,0,0,0,2,2022,74,19
Brandon Knight,PG,PHX,13500000,26106250,39725000,54356250,70000000,0,0,5,2020,79,26
Davon Reed,SG,PHX,815615,2193857,3812377,5565327,0,0,0,4,2021,67,23
Deandre Ayton,C,PHX,8165160,17728080,0,0,0,0,0,2,2022,82,19
Devin Booker,SG,PHX,2127840,4351440,6670800,9985165,0,0,0,4,2019,87,21
Dragan Bender,PF,PHX,4276320,8745120,13406400,0,0,0,0,3,2020,70,20
Jared Dudley,SF,PHX,10470000,20470000,30000000,0,0,0,0,3,2019,72,32
Josh Jackson,SF,PHX,5090040,11131560,0,0,0,0,0,2,2021,79,21
Marquese Chriss,PF,PHX,2941440,6015240,9221400,0,0,0,0,3,2020,75,21
Mikal Bridges,SF,PHX,3552960,7713960,0,0,0,0,0,2,2022,74,21
Shaquille Harrison,G,PHX,175000,1553242,0,0,0,0,0,2,2019,62,24
T.J. Warren,SF,PHX,11750000,22560000,34310000,47000000,0,0,0,4,2022,81,24
Trevor Ariza,SF,PHX,15000000,0,0,0,0,0,0,1,2019,81,33
Troy Daniels,SG,PHX,3332940,6741460,10000009,0,0,0,0,3,2019,71,26
Tyson Chandler,C,PHX,13000000,25415000,38415000,52000000,0,0,0,4,2019,73,35
Al-Farouq Aminu,SF,POR,8042895,15723860,23042895,30000000,0,0,0,4,2019,78,27
Anfernee Simons,SG,POR,1835520,3985080,0,0,0,0,0,2,2022,69,19
C.J. McCollum,SG,POR,23962572,49722338,77279297,106633449,0,0,0,4,2021,86,26
Caleb Swanigan,PF,POR,1465920,3205920,0,0,0,0,0,2,2021,71,21
Damian Lillard,PG,POR,24328425,50481482,78459171,108261492,139888445,0,0,5,2021,89,27
Evan Turner,SG,POR,16393443,33524591,51393443,70000000,0,0,0,4,2020,75,29
