Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Cristiano Felicio,C,25,CHI,30,390,11.2,0.6,0,0.425,8.8,14.5,11.6,8,0.5,1.3,15.9,12.7,0,0.5,0.2,0.7,0.088,0,-2.7,-0.3,-3,-0.1
D.J. Augustin,PG,30,ORL,48,998,15.3,0.597,0.517,0.404,2,7.9,4.9,22.4,1.9,0,15.2,18.4,0,1.9,0.4,2.3,0.108,0,1.5,-2.4,-0.8,0.3
D.J. Wilson,PF,21,MIL,18,60,7.7,0.667,0.417,0,2,11.8,6.9,4.8,0.8,1.4,25,12.2,0,0,0,0,0.023,0,-3.7,-2,-5.7,-0.1
D'Angelo Russell,PG,21,BRK,23,544,14.5,0.501,0.331,0.241,2.9,14.4,8.6,34.9,1.5,0.7,18.1,34.5,0,-0.7,0.4,-0.3,-0.026,0,-0.3,-0.9,-1.3,0.1
Dakari Johnson,C,22,OKC,25,147,16,0.556,0,0.432,10.3,12.6,11.4,7.9,2,4.4,6.4,13.8,0,0.3,0.2,0.5,0.173,0,-1.2,1.6,0.4,0.1
Damian Jones,C,22,GSW,3,8,-4.4,0,0,0,15.2,0,7,0,0,9.8,100,5.5,0,0,0,0,-0.049,0,-7.1,3.8,-3.3,0
Damian Lillard,PG,27,POR,50,1823,24.2,0.594,0.434,0.35,2.2,11.3,6.8,30.9,1.4,1,12.3,30,0,6.1,1.7,7.7,0.204,0,6.8,-0.9,5.9,3.6
Damien Wilkins,SF,38,IND,19,152,4.9,0.405,0.462,0.103,3.8,8.1,6,7.7,0.7,0.6,10.9,13.5,0,-0.1,0.1,-0.1,-0.025,0,-4.2,-2.3,-6.5,-0.2
Damyean Dotson,SG,23,NYK,25,222,10.4,0.507,0.448,0.104,2.6,15.4,9.1,7.8,1.3,0.4,5.4,14.6,0,0.1,0.2,0.3,0.069,0,-1.5,-1.4,-2.9,0
Daniel Hamilton,SG,22,OKC,4,25,20.7,0.545,0.455,0,0,23.2,11.2,44.9,2,0,15.4,22.4,0,0.1,0,0.1,0.177,0,1.6,-1.5,0,0
